address,latitude,longitude
"1806 W ABINGDON DR, UNIT 102",38.8168686,-77.0450933
"1806 W ABINGDON DR, UNIT 201",38.8168686,-77.0450933
"1806 W ABINGDON DR, UNIT 202",38.8168686,-77.0450933
"1806 W ABINGDON DR, UNIT 301",38.8168686,-77.0450933
"1806 W ABINGDON DR, UNIT 302",38.8168686,-77.0450933
"1808 W ABINGDON DR, UNIT 101",38.8168686,-77.0450933
"1808 W ABINGDON DR, UNIT 102",38.8168686,-77.0450933
"1808 W ABINGDON DR, UNIT 201",38.8168686,-77.0450933
"1808 W ABINGDON DR, UNIT 202",38.8168686,-77.0450933
"1808 W ABINGDON DR, UNIT 301",38.8168686,-77.0450933
"1808 W ABINGDON DR, UNIT 302",38.8168686,-77.0450933
"1810 W ABINGDON DR, UNIT 101",38.8202013,-77.0444123
"1810 W ABINGDON DR, UNIT 102",38.8202013,-77.0444123
"1810 W ABINGDON DR, UNIT 201",38.8202013,-77.0444123
"1810 W ABINGDON DR, UNIT 202",38.8202013,-77.0444123
"1810 W ABINGDON DR, UNIT 301",38.8202013,-77.0444123
